Date,Close
7-Apr-14,"$1,845.04 "
4-Apr-14,"$1,865.09 "
3-Apr-14,"$1,888.77 "
2-Apr-14,"$1,890.90 "
1-Apr-14,"$1,885.52 "
31-Mar-14,"$1,872.34 "
28-Mar-14,"$1,857.62 "
27-Mar-14,"$1,849.04 "
26-Mar-14,"$1,852.56 "
25-Mar-14,"$1,865.62 "
24-Mar-14,"$1,857.44 "
21-Mar-14,"$1,866.52 "
20-Mar-14,"$1,872.01 "
19-Mar-14,"$1,860.77 "
18-Mar-14,"$1,872.25 "
17-Mar-14,"$1,858.83 "
14-Mar-14,"$1,841.13 "
13-Mar-14,"$1,846.34 "
12-Mar-14,"$1,868.20 "
11-Mar-14,"$1,867.63 "
10-Mar-14,"$1,877.17 "
7-Mar-14,"$1,878.04 "
6-Mar-14,"$1,877.03 "
5-Mar-14,"$1,873.81 "
4-Mar-14,"$1,873.91 "
3-Mar-14,"$1,845.73 "
28-Feb-14,"$1,859.45 "
27-Feb-14,"$1,854.29 "
26-Feb-14,"$1,845.16 "
25-Feb-14,"$1,845.12 "
24-Feb-14,"$1,847.61 "
21-Feb-14,"$1,836.25 "
20-Feb-14,"$1,839.78 "
19-Feb-14,"$1,828.75 "
